epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,6721.7,1.09251,0.84736,1.01347,0.74981,0.60829,0.69002,0.37413,1.58992,1.26174,1.23074,0.00307,0.00307,0.00307
72,6815.09,0.98849,0.80097,0.9786,0.76558,0.57921,0.7001,0.37004,1.58846,1.22344,1.2299,0.002971,0.002971,0.002971
73,6910.93,1.14665,0.98298,1.03613,0.67561,0.64851,0.69307,0.37301,1.5643,1.25704,1.20453,0.002872,0.002872,0.002872
74,7006.33,1.11158,0.9366,1.05259,0.65209,0.65347,0.66909,0.35939,1.56925,1.23572,1.21025,0.002773,0.002773,0.002773
75,7099.81,0.99523,0.81799,1.00112,0.64378,0.67101,0.69248,0.37735,1.543,1.15409,1.19871,0.002674,0.002674,0.002674
76,7189.88,1.06926,0.80794,1.00406,0.71915,0.61881,0.70137,0.39941,1.52002,1.18047,1.18793,0.002575,0.002575,0.002575
77,7282.33,1.04946,0.87622,1.05796,0.73864,0.59901,0.70492,0.3889,1.53258,1.17939,1.1934,0.002476,0.002476,0.002476
78,7379.35,1.05858,0.77651,0.99203,0.73002,0.62915,0.69605,0.38238,1.54875,1.18329,1.20101,0.002377,0.002377,0.002377
79,7474.49,1.02889,0.79011,0.99625,0.73349,0.62871,0.71099,0.40557,1.51944,1.12458,1.181,0.002278,0.002278,0.002278
80,7566.05,1.01173,0.80865,0.98499,0.6352,0.68959,0.70063,0.38931,1.55067,1.1557,1.2007,0.002179,0.002179,0.002179
81,7659.22,1.03468,0.81445,1.01102,0.62814,0.66898,0.70376,0.39213,1.53301,1.12926,1.18736,0.00208,0.00208,0.00208
82,7781.48,0.98799,0.75583,0.9703,0.67543,0.67822,0.72972,0.41004,1.54213,1.10374,1.18382,0.001981,0.001981,0.001981
83,7880.69,1.04893,0.80337,1.00279,0.67553,0.68026,0.73995,0.42244,1.49204,1.08198,1.17083,0.001882,0.001882,0.001882
84,7972.1,1.02909,0.81559,0.99448,0.65677,0.65842,0.71295,0.4224,1.48811,1.09669,1.17353,0.001783,0.001783,0.001783
85,8066.91,0.9878,0.75904,0.97524,0.69047,0.66258,0.73687,0.4274,1.49469,1.08088,1.17415,0.001684,0.001684,0.001684
86,8155.01,1.02291,0.77487,1.0134,0.67281,0.68317,0.73385,0.4249,1.5065,1.09614,1.17051,0.001585,0.001585,0.001585
87,8256.25,1.00365,0.77589,0.97156,0.68301,0.66337,0.72975,0.41533,1.50749,1.10986,1.17176,0.001486,0.001486,0.001486
88,8348.83,1.01449,0.73634,0.97514,0.68341,0.65186,0.7263,0.41378,1.49574,1.11723,1.17223,0.001387,0.001387,0.001387
89,8443.64,1.0405,0.82294,1.00533,0.67355,0.67412,0.72166,0.41541,1.48627,1.10633,1.172,0.001288,0.001288,0.001288
90,8540.45,1.1068,0.80467,1.03809,0.62072,0.69802,0.71668,0.40943,1.50715,1.12504,1.18,0.001189,0.001189,0.001189
91,8636.22,1.07175,0.81893,0.99177,0.65908,0.65842,0.71814,0.40018,1.52049,1.15665,1.19502,0.00109,0.00109,0.00109
92,8731.12,0.99396,0.75387,0.98816,0.60613,0.67804,0.70474,0.39317,1.53251,1.18424,1.20142,0.000991,0.000991,0.000991
93,8825.44,1.12002,1.18757,0.98633,0.66502,0.60934,0.6954,0.38801,1.53959,1.19115,1.20705,0.000892,0.000892,0.000892
94,8919.3,1.12329,0.9903,1.03822,0.69105,0.60903,0.70667,0.39949,1.51238,1.17399,1.20183,0.000793,0.000793,0.000793
95,9012.04,0.93303,0.75682,1.00673,0.63163,0.66337,0.71616,0.40967,1.50467,1.15711,1.20254,0.000694,0.000694,0.000694
96,9103.88,1.03137,0.77402,1.0021,0.64352,0.66133,0.71048,0.41158,1.49224,1.14375,1.18972,0.000595,0.000595,0.000595
97,9199.68,0.93663,0.73306,0.94003,0.64334,0.66081,0.71528,0.41033,1.49467,1.13394,1.18477,0.000496,0.000496,0.000496
98,9292.58,1.08026,0.85337,1.01379,0.6671,0.62376,0.70407,0.40405,1.50038,1.11671,1.18963,0.000397,0.000397,0.000397
99,9401.38,0.96274,0.80007,0.97036,0.67154,0.64776,0.70829,0.40302,1.51484,1.11671,1.2015,0.000298,0.000298,0.000298
100,9500.28,0.97182,0.82343,0.97344,0.67335,0.66337,0.71103,0.40063,1.51793,1.11932,1.20599,0.000199,0.000199,0.000199
